ID,B_bar,B_P,eta_b_c,eta_b_d
1,200,50,0.95,0.95
2,300,75,0.95,0.95
3,600,150,0.95,0.95
4,100,25,0.95,0.95
5,100,25,0.95,0.95
6,10,2.5,0.95,0.95
7,1500,375,0.95,0.95
8,400,100,0.95,0.95
9,10,2.5,0.95,0.95
10,100,25,0.95,0.95
11,300,75,0.95,0.95
12,1200,300,0.95,0.95
13,20,5,0.95,0.95
14,3000,750,0.95,0.95
15,800,200,0.95,0.95
